,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268506/ PMC3268506,PMC3268506,Arabidopsis,Yes,Yes,table compounds and TPS,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268506/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268506/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3243410/ PMC3243410,PMC3243410,Arabidopsis,Yes,not mentioned,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3243410/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3243410/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346237/ PMC3346237,PMC3346237,Salvia miltiorrhiza,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346237/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346237/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346232/ PMC3346232,PMC3346232,Alstroemeria,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346232/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346232/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295389/ PMC3295389,PMC3295389,Actinidia chinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295389/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295389/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3195254/ PMC3195254,PMC3195254,,not mentioned,Yes,Ecoli,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3195254/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3195254/ 
https://doi.org/10.1111/j.1365-313x.2011.04771.x PMID: 21880075,PMID: 21880075,"sorghum, grass",Yes,Yes,,[PMC](https://doi.org/10.1111/j.1365-313x.2011.04771.x  ),, ),[PMC](,https://doi.org/10.1111/j.1365-313x.2011.04771.x 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193516/ PMC3193516,PMC3193516,Tomato,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193516/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193516/ 
https://doi.org/10.1016/j.phytochem.2011.03.014 PMID: 21492885,PMID: 21492885,Populus trichocarpa,Yes,Yes,,[PMC](https://doi.org/10.1016/j.phytochem.2011.03.014  ),, ),[PMC](,https://doi.org/10.1016/j.phytochem.2011.03.014 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093818/ PMC3093818,PMC3093818,Santalum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093818/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093818/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058080/ PMC3058080,PMC3058080,Picea_spp.,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058080/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058080/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3001579/ PMC3001579,PMC3001579,Lavender,not mentioned,not mentioned,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3001579/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3001579/ 
https://doi.org/10.1104/pp.110.154864 PMID: 20463089,PMID: 20463089,Arabidopsis,Yes,Yes,,[PMC](https://doi.org/10.1104/pp.110.154864  ),, ),[PMC](,https://doi.org/10.1104/pp.110.154864 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892144/ PMC2892144,PMC2892144,Arabidopsis thaliana,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892144/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892144/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2798659/ PMC2798659,PMC2798659,,1 compound,1 tps,fungus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2798659/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2798659/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710562/ PMC2710562,PMC2710562,Medicago truncatula,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710562/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710562/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2718223/ PMC2718223,PMC2718223,Actinidia deliciosa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2718223/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2718223/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705528/ PMC2705528,PMC2705528,,not mentioned,Yes,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705528/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705528/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705607/ PMC2705607,PMC2705607,tomato,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705607/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705607/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687518/ PMC2687518,PMC2687518,Arabidopsis lyrata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687518/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687518/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2659225/ PMC2659225,PMC2659225,Apple,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2659225/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2659225/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2459234/ PMC2459234,PMC2459234,Pinus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2459234/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2459234/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2242725/ PMC2242725,PMC2242725,Picea,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2242725/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2242725/ 
https://doi.org/10.1104/pp.104.050187 PMID: 15618433,PMID: 15618433,Picea sitchensis,Yes,Yes,,[PMC](https://doi.org/10.1104/pp.104.050187  ),, ),[PMC](,https://doi.org/10.1104/pp.104.050187 
https://doi.org/10.1104/pp.104.042028 PMID: 15310829,PMID: 15310829,Picea abies,Yes,Yes,,[PMC](https://doi.org/10.1104/pp.104.042028  ),, ),[PMC](,https://doi.org/10.1104/pp.104.042028 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2756395/ PMC2756395,PMC2756395,Medicago truncatula,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2756395/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2756395/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876254/ PMC1876254,PMC1876254,Lycopersicon esculentum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876254/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876254/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22624/ PMC22624,PMC22624,Abies grandis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22624/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22624/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22453/ PMC22453,PMC22453,,not mentioned,Yes,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22453/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22453/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3095273/ PMC3095273,PMC3095273,Picea glauca,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3095273/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3095273/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2835961/ PMC2835961,PMC2835961,Actinidia deliciosa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2835961/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2835961/ 
https://doi.org/10.1111/j.1399-3054.2009.01315.x PMID: 20002329,PMID: 20002329,lavender,Yes,Yes,,[PMC](https://doi.org/10.1111/j.1399-3054.2009.01315.x  ),, ),[PMC](,https://doi.org/10.1111/j.1399-3054.2009.01315.x 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634570/ PMC2634570,PMC2634570,,not mentioned,not mentioned,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634570/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634570/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634321/ PMC2634321,PMC2634321,M. truncatula,Yes,Yes,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634321/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634321/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071761/PMC3071761,PMC3071761,Curcuma longa,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071761/ ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071761/
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
,,,,,,,, ),,
