,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459318/ PMC7459318,PMC7459318,Vitis vinifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459318/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459318/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484799/ PMC7484799,PMC7484799,,Yes,Yes,M. larici-populina,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484799/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484799/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504178/ PMC7504178,PMC7504178,Spearmint,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504178/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504178/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465836/ PMC7465836,PMC7465836,Cucumis_sativus,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465836/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465836/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/ PMC7419205,PMC7419205,Chimonanthus praecox,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/ 
https://doi.org/10.1016/j.plantsci.2020.110549 PMID: 32771161,PMID: 32771161,Ficus carica,Yes,Yes,,[PMC](https://doi.org/10.1016/j.plantsci.2020.110549  ),, ),[PMC](,https://doi.org/10.1016/j.plantsci.2020.110549 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7432446/ PMC7432446,PMC7432446,Dendrobium officinale,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7432446/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7432446/ 
https://doi.org/10.1093/pcp/pcaa100 PMID: 32726442,PMID: 32726442,Lathyrus odoratus,Yes,Yes,,[PMC](https://doi.org/10.1093/pcp/pcaa100  ),, ),[PMC](,https://doi.org/10.1093/pcp/pcaa100 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/ PMC7417412,PMC7417412,Poaceae,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/ PMC7332032,PMC7332032,Plectranthus amboinicus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/ PMC7356763,PMC7356763,Chimonanthus praecox,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ PMC7293187,PMC7293187,Cinnamomum burmannii,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ PMC7305226,PMC7305226,Daucus carota_,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352595/ PMC7352595,PMC7352595,Pseudotaxus chienii,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352595/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352595/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/ PMC7321343,PMC7321343,Vitis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279377/ PMC7279377,PMC7279377,,not mentioned,not mentioned,candida,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279377/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279377/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216305/ PMC7216305,PMC7216305,Vitis vinifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216305/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216305/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7286024/ PMC7286024,PMC7286024,Vitis vinifera,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7286024/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7286024/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227769/ PMC7227769,PMC7227769,,Yes,No,Fungus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227769/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227769/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290806/ PMC7290806,PMC7290806,Vitis vinifera,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290806/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290806/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7299927/ PMC7299927,PMC7299927,Cucumis sativus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7299927/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7299927/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/ PMC7163982,PMC7163982,,Yes,Yes,Poster Presentations,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7238224/ PMC7238224,PMC7238224,Arabidopsis,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7238224/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7238224/ 
