LINK,PMCID,Plant,Compound,TPS nomenclature,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784883/ ,PMC6784883,Cinnamomum kanehirae,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299004/ ,PMC6299004,Populus trichocarpa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6287202/ ,PMC6287202,Quercus robur,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6320843/ ,PMC6320843,Cyperus_iria_,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240891/ ,PMC6240891,Pelargonium,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6246602/ ,PMC6246602,Osmanthus fragrans,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231246/ ,PMC6231246,,not mentioned,not mentioned,fungus
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6239295/ ,PMC6239295,Ocimum sanctum,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6278268/ ,PMC6278268,Scutellaria barbata,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6198442/ ,PMC6198442,,Yes,Yes,Coniophora puteana
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6214137/ ,PMC6214137,S._lycopersicum,not mentioned,Yes,
https://doi.org/10.5650/jos.ess18163 ,PMID: 30305556,A. sciadophylloides Franch,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156593/ ,PMC6156593,,Yes,Yes,Dictyostelids
https://doi.org/10.1007/s00425-018-3006-7 ,PMID: 30218384,Lilium_•Siberiaê_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163538/ ,PMC6163538,S._lycopersicum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6117411/ ,PMC6117411,R. tomentosa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6128898/ ,PMC6128898,Trachyspermum ammi,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289780/ ,PMC6289780,Salvia guaranitica,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110934/ ,PMC6110934,Maize and Barley,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124719/ ,PMC6124719,P._tuberosa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140472/ ,PMC6140472,M. histrionica,Yes,Yes,insect
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102311/ ,PMC6102311,Camellia hiemalis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6121529/ ,PMC6121529,M. canadensis,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100529/ ,PMC6100529,Osmanthus fragrans,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093345/ ,PMC6093345,Phalaenopsis bellina,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020762/ ,PMC6020762,Amomum villosum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093421/ ,PMC6093421,Freesia_x_hybrida_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100370/ ,PMC6100370,P. minus,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110340/ ,PMC6110340,Arabidopsis thaliana,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5984618/ ,PMC5984618,R. chinensis,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5927414/ ,PMC5927414,,not mentioned,Yes,T._atroviride
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5876372/ ,PMC5876372,Lilium_•Siberiaê,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5842272/ ,PMC5842272,,Yes,Yes,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131416/ ,PMC6131416,rice,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802726/ ,PMC5802726,citrus,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777610/ ,PMC5777610,Ocimum basilicum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777606/ ,PMC5777606,Solanum lycopersicum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5767561/ ,PMC5767561,,Yes,not mentioned,E. coli_DH1
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761147/ ,PMC5761147,,not mentioned,Yes,
https://doi.org/10.1016/j.plantsci.2016.11.013 ,AGR: IND605603677,Jasminum sambac,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6014366/ ,PMC6014366,,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703079/ ,PMC5703079,Lycopersicon esculentum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5694497/ ,PMC5694497,Vitex_genus,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5693887/ ,PMC5693887,,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5684173/ ,PMC5684173,Daucus carota,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700130/ ,PMC5700130,Salvia officinalis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700745/ ,PMC5700745,Lilium,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5683525/ ,PMC5683525,maize,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345376/ ,PMC6345376,,not mentioned,Yes,
https://doi.org/10.1007/s00425-017-2801-x ,PMID: 29075872,Camelina sativa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5641392/ ,PMC5641392,Maize lines,not mentioned,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5681606/ ,PMC5681606,Arabidopsis thaliana,Yes,Yes,
https://doi.org/10.1111/pce.13088 ,PMID: 29044662,Gossypium hirsutum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853461/ ,PMC5853461,sweet orange,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853251/ ,PMC5853251,cucumber,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573811/ ,PMC5573811,Citrus sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584320/ ,PMC5584320,Chrysanthemum morifolium,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568196/ ,PMC5568196,Citrus reticulata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5543080/ ,PMC5543080,Lilium,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562797/ ,PMC5562797,Pinus contorta,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562913/ ,PMC5562913,Mangifera indica,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576791/ ,PMC5576791,Nicotiana attenuata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5495837/ ,PMC5495837,Tomato,Yes,not mentioned,
https://doi.org/10.1111/pce.13029 ,PMID: 28722114,Prunus persica_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5530694/ ,PMC5530694,Plants,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5850473/ ,PMC5850473,Arabidopsis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5471912/ ,PMC5471912,champak,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5442961/ ,PMC5442961,,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5785346/ ,PMC5785346,Artemisia annua,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5432621/ ,PMC5432621,Vitis vinifera,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5449406/ ,PMC5449406,rice,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404360/ ,PMC5404360,Salvia miltiorrhiza,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5395458/ ,PMC5395458,Zea mays,Yes,Yes,
https://doi.org/10.1111/pce.12959 ,PMID: 28370092,P. lunatus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6154332/ ,PMC6154332,J. sambac,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362742/ ,PMC4362742,,not mentioned,Yes,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341033/ ,PMC5341033,Murraya koenigii,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333544/ ,PMC5333544,Persicaria minor,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5289981/ ,PMC5289981,Rice,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5281624/ ,PMC5281624,Vitis vinifera,not mentioned,Yes,
https://doi.org/10.1016/j.phytochem.2017.01.015 ,PMID: 28190677,Lavandula angustifolia,not mentioned,Yes,
https://doi.org/10.1016/j.plantsci.2016.11.013 ,PMID: 28167035,Jasminum sambac,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122590/ ,PMC5122590,Arabidopsis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087002/ ,PMC5087002,Plants,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087028/ ,PMC5087028,D. discoideum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5362686/ ,PMC5362686,"soybean, apple",Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5083917/ ,PMC5083917,Osmanthus fragrans,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6272835/ ,PMC6272835,Litsea_cubeba,not mentioned,not mentioned,
https://doi.org/10.1016/j.phytochem.2016.08.002 ,PMID: 27561253,,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4963619/ ,PMC4963619,C. flexuosus,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934395/ ,PMC4934395,Gongora_orchids,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861830/ ,PMC4861830,Artemisia annua,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274141/ ,PMC6274141,Valeriana fauriei,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803801/ ,PMC4803801,tree species,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301923/ ,PMC5301923,citrus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4822282/ ,PMC4822282,Sambucus nigra,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4802899/ ,PMC4802899,V. vinifera,not mentioned,Yes,
https://doi.org/10.1111/ppl.12241 ,AGR: IND601259759,Lavandula pedunculata,Yes,Yes,
